"This value is not valid.","この値は、有効ではありません。"
"This value should be lower than {{max}}.","この値は、{{max}}よりも低くすべきである。"
"Please use %s characters.","%s文字を使用してください。"
"both uppercase and lowercase characters","両方の大文字と小文字"
"at least one special character","少なくとも一つの特殊文字"
"at least one numeric character","1つ以上の数字"
"The Password must contain %s.","パスワードは%sが含まれている必要があります。"
"Thank you for your input in the full-width katakana.","全角カタカナでのご入力をお願いいたします."
"Please make sure your email match.","あなたのメールアドレスが一致していることを確認してください。"
"Please enter a valid full date.","有効な完全な日付を入力してください"
"Help Desk","お問い合わせ履歴"
"Cash on Delivery fee","代金引換手数料（税込)"
"My Support Tickets","お問い合わせ"
"My Support Tickets History","お問い合わせ履歴"
"ID","身元"
"Inquiry number","お問い合わせ番号"
"Department","売り場"
"Replies","返信"
"Create new ticket","新規お問い合わせ"
"Assign to order","ご注文番号"
"Unassigned","割り当てられていない"
"Submit Ticket","お問い合わせ内容を送信"
"Ticket has been successfully saved.","お問い合わせいただき、ありがとうございました。"
"Ticket Information","お問い合わせ詳細"
"Post a Reply","返信する"
"Close Ticket","お問い合わせ終了"
"Post Reply","返信する"
"%s Back to my Support Tickets","%s戻る"
"Reply has been successfully saved.","返信を受け付けました。"
"You are near to close the ticket. Are you sure?","お問い合わせを終了すると、返信の投稿ができなくなります。終了してよろしいですか？"
"Ticket has been successfully closed.","お問い合わせありがとうございました。"
"Return #","リターン＃"
"Ship From","から船"
"Return Status","リターン·ステータス"
"View Return","ビュー戻る"
"Request Information","要請情報"
"Date Requested","日付が要求され"
"Contact Email Address","連絡先メールアドレス"
"Items Return Requested For","アイテムは、のために要求リターン"
"Resolution","解像度"
"Request Qty","数量をリクエスト"
"Leave Comment","コメントを残す"
"Address change","住所変更"
"Mage_Customer::Change Billing Address","請求先住所の変更"
"Mage_Customer::Change Shipping Address","配送先住所の変更"
"Change Shipping Address","お届け先住所の変更"
"Shipping & Handling","配送料（税込）"
"Billing Address","お届け先住所"
"Customer Address","お客様住所"
"Mage_Sales::Payment Method","お支払い方法"
"Mage_Checkout::Payment Method","お支払い情報"
"Payment Method","お支払い情報"
"Subtotal(Incl. Tax)","小計（税込）"
"Change Registration Information","ご登録情報"
"You are currently subscribed to 'General Subscription'.","現在メールマガジンを「受け取る」設定です"
"You are currently not subscribed to any newsletter.","現在メールマガジンを「受け取らない」設定です"
"My Dashboard","マイページトップ"
"Send","送信する"
"Login ID (email address)","ログインID(メールアドレス）"
"Mage_Customer::Forgot Your Password?","パスワードを忘れた方はこちら"
"Mage_Persistent::Forgot Your Password?","パスワードを忘れた方はこちら"
"Customers first is your application in our store, you will need a Lactacyd membership registration.","当ショップで初めてお申込みされるお客様は、Lactacyd会員登録が必要となります。"
"Register","新規会員登録"
"Mage_Cms::Home","トップ"
"Mage_Catalog::Home","トップ"
"Mage_Sales::Home","トップ"
"Qty", "数量"
"Mage_Bundle::Qty", "数量"
"Mage_Checkout::Qty", "数量"
"Mage_Sales::Qty","数量"
"Log in","ログイン"
"My Account","マイページ"
"Log Out","ログアウト"
"Current amount:","ご注文金額:"
"Go to checkout","お申込み画面へ進む"
"What is Lactacyd ?","Lactacydとは ?"
"FAQ","よくあるご質問"
"Is not composite","【ラクタシード】"
"Is composite","【ラクタシード ボリュームセット】"
"bottle","本"
"piece","個"
"You need to pay the shipping","※表示価格には別途送料がかかります。"
"Special consumption tax and the carriage of the display price.","※表示価格には別途消費税と送料がかかります。"
"Normal price","通常価格"
"Price for the whole set","セット価格"
"Required field","必須"
"Last Name","姓"
"Your name [full]","お名前〔全角〕"
"Your Japan name [full]","フリガナ〔全角カナ〕"
"Phonetic lastname","セイ"
"Phonetic firstname","メイ"
"E-mail address [alphanumeric]","メールアドレス〔半角英数字〕"
"Please enter again for confirmation.","確認のためもう一度ご入力ください。"
"Sign Up for Sanofi Newsletter","今後sanofiからメールをお送りしてよろしいですか？"
"Receive","受け取る"
"Not receive","受け取らない"
"Password [alphanumeric]","パスワード〔半角英数字〕"
"Only available on online shop","オンラインショップ限定"
"Free shipping","送料無料"
"Yamada","山田"
"Hanako","花子"
"~Yamada","ゃまだ"
"~Hanako","はなこ"
"Zip [byte numbers]","郵便番号〔半角数字〕"
"Gender","性別"
"Date of birth","生年月日"
"YYYY","年"
"MM","月"
"DD","日"
"Membership agreement","〔会員規約〕"
"Prefectures and municipalities","都道府県・市区町村"
"Address and building","番地・建物名など"
"Telephone number [byte numbers]","電話番号〔半角英数字〕"
"Phone","番号"
"Inc. Tax","税込"
"Incl. Tax","税込"
"Excl. Tax","税抜"
"Mage_Tax::Excl. Tax","税抜"
"If you have an account with us, log in using your email address.","Lactacyd会員登録がお済みの方は、<br />こちらからログインして下さい。"
"You can register during the sign-up process","お申込み手続き中にご登録いただけます"
"Log than apply the next time you<br />You can sign up smoothly","次回のお申込みよりログインして<br />スムーズにお申込みいただけます";
"Please enter your email address below. You will receive a link to reset your password.","ログイン時に使用しているメールアドレスを入力して「送信する」ボタンをクリックしてください。<br />パスワード再発行メールをお送りいたします。"
"Mage_Checkout::Shipping Information","お届け先情報"
"Shipping Information","お届け先情報"
"Mage_Checkout::Billing Information","お客様情報"
"Mage_Checkout::Shipping Method","配送情報"
"Mage_Checkout::Payment Information","お支払い情報"
"Mage_Checkout::Order Review","お申込みの確認"
"Delivery date","お届け日"
"Delivery time","お届け時間"
"Please enter the required fields.","必要項目を入力してください。"
"Please select a delivery date.","お届け日を選択してください。"
"Please select a delivery time.","配送時間を選択してください。"
"Delivery schedule information is missing.","配信スケジュール情報が欠落しています。"
"Deliver at the earliest","最短日数での配送"
"Choose your delivery date and time","ご希望の配送日時を指定"
"Delivery: Deliver earliest","配信：早い配信"
"Delivery: Deliver earliest at %s","お届け時間：%s"
"Deliver to your designated date and time depending on traffic and weather","※交通状況や天候によりご指定の日時にお届けできない場合があります。"
"The available card is shown on the right.","左記のカードがご利用いただけます。"
"Please select your payment information.","お支払い情報を選択してください。"
"Please enter the card information.","カード情報を入力してください。"
